wall_utc,node,side,seq,expect_seq,ok,detail
0,XPBD_RECV_POSITION,xpbd,208,208,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,208,208,1,ch21
0,XPBD_RECV_POSITION,xpbd,209,209,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,209,209,1,ch21
0,XPBD_RECV_POSITION,xpbd,210,210,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,210,210,1,ch21
0,XPBD_RECV_POSITION,xpbd,211,211,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,211,211,1,ch21
0,XPBD_RECV_POSITION,xpbd,212,212,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,212,212,1,ch21
